time,Axis 1,Axis 2,Axis 3,Axis 4,Axis 5,Axis 6,Axis 7,Axis 8
0.0,8.918173987109457,-3.6653466977572746,-9.519995653545116,-13.10932967644298,-20.105671641386063,-4.143234002507402,21.003505384921553,34.04208954698985
0.001,8.942095736666865,-3.5806034553668966,-9.454418596247782,-13.08822002734144,-20.13631669068565,-4.31556665830885,20.848744199434197,33.989050243965735
0.002,8.966017486224274,-3.4958602129765186,-9.38884153895045,-13.067110378239903,-20.16696173998524,-4.4878993141102965,20.693983013946838,33.936010940941614
0.003,8.989939235781682,-3.4111169705861406,-9.323264481653116,-13.046000729138363,-20.197606789284826,-4.660231969911744,20.539221828459482,33.8829716379175
0.004,9.013860985339091,-3.3263737281957626,-9.257687424355783,-13.024891080036825,-20.228251838584416,-4.832564625713191,20.384460642972126,33.829932334893385
0.005,9.0377827348965,-3.2416304858053846,-9.192110367058449,-13.003781430935286,-20.258896887884003,-5.004897281514639,20.229699457484767,33.776893031869264
0.006,9.061704484453909,-3.1568872434150066,-9.126533309761115,-12.982671781833748,-20.289541937183593,-5.177229937316086,20.07493827199741,33.72385372884515
0.007,9.085626234011317,-3.0721440010246286,-9.060956252463782,-12.961562132732208,-20.32018698648318,-5.3495625931175335,19.920177086510055,33.67081442582103
0.008,9.109547983568726,-2.9874007586342506,-8.995379195166448,-12.940452483630668,-20.35083203578277,-5.52189524891898,19.765415901022696,33.617775122796914
0.009000000000000001,9.133469733126134,-2.902657516243872,-8.929802137869114,-12.91934283452913,-20.381477085082356,-5.694227904720428,19.61065471553534,33.5647358197728
0.01,9.157391482683543,-2.8179142738534946,-8.864225080571781,-12.898233185427591,-20.412122134381946,-5.866560560521875,19.455893530047984,33.51169651674868
0.011,9.181313232240951,-2.7331710314631166,-8.798648023274447,-12.877123536326053,-20.442767183681532,-6.038893216323322,19.301132344560624,33.458657213724564
0.012,9.20523498179836,-2.6484277890727386,-8.733070965977113,-12.856013887224513,-20.473412232981122,-6.2112258721247695,19.14637115907327,33.40561791070045
0.013000000000000001,9.229156731355769,-2.56368454668236,-8.66749390867978,-12.834904238122975,-20.50405728228071,-6.383558527926217,18.991609973585913,33.35257860767633
0.014,9.253078480913178,-2.4789413042919826,-8.601916851382446,-12.813794589021436,-20.534702331580295,-6.555891183727665,18.836848788098553,33.299539304652214
0.015,9.277000230470586,-2.394198061901604,-8.536339794085114,-12.792684939919898,-20.565347380879885,-6.728223839529111,18.682087602611197,33.2465000016281
0.016,9.300921980027995,-2.3094548195112266,-8.47076273678778,-12.771575290818358,-20.59599243017947,-6.900556495330559,18.52732641712384,33.19346069860398
0.017,9.324843729585403,-2.224711577120848,-8.405185679490446,-12.750465641716819,-20.62663747947906,-7.0728891511320064,18.372565231636482,33.140421395579864
0.018000000000000002,9.348765479142813,-2.13996833473047,-8.339608622193113,-12.72935599261528,-20.657282528778648,-7.245221806933454,18.217804046149126,33.08738209255574
0.019,9.37268722870022,-2.055225092340092,-8.274031564895779,-12.708246343513741,-20.687927578078238,-7.417554462734901,18.06304286066177,33.03434278953163
0.02,9.39660897825763,-1.9704818499497143,-8.208454507598447,-12.687136694412203,-20.718572627377824,-7.589887118536348,17.90828167517441,32.981303486507514
0.021,9.420530727815038,-1.885738607559336,-8.142877450301112,-12.666027045310663,-20.749217676677414,-7.762219774337796,17.753520489687055,32.92826418348339
0.022,9.444452477372446,-1.8009953651689583,-8.077300393003778,-12.644917396209125,-20.779862725977,-7.9345524301392425,17.5987593041997,32.87522488045928
0.023,9.468374226929855,-1.7162521227785803,-8.011723335706446,-12.623807747107586,-20.81050777527659,-8.10688508594069,17.443998118712344,32.822185577435164
0.024,9.492295976487263,-1.631508880388202,-7.9461462784091115,-12.602698098006048,-20.841152824576177,-8.279217741742137,17.289236933224984,32.76914627441104
0.025,9.516217726044673,-1.546765637997824,-7.880569221111778,-12.581588448904508,-20.871797873875764,-8.451550397543585,17.13447574773763,32.71610697138693
0.026000000000000002,9.54013947560208,-1.462022395607446,-7.814992163814445,-12.560478799802969,-20.902442923175354,-8.623883053345033,16.97971456225027,32.663067668362814
0.027,9.56406122515949,-1.377279153217068,-7.749415106517111,-12.53936915070143,-20.93308797247494,-8.79621570914648,16.824953376762913,32.61002836533869
0.028,9.587982974716898,-1.29253591082669,-7.683838049219777,-12.518259501599891,-20.96373302177453,-8.968548364947928,16.670192191275557,32.55698906231458
0.029,9.611904724274307,-1.207792668436312,-7.618260991922444,-12.497149852498353,-20.994378071074117,-9.140881020749374,16.5154310057882,32.503949759290464
0.03,9.635826473831715,-1.123049426045934,-7.552683934625111,-12.476040203396813,-21.025023120373707,-9.31321367655082,16.360669820300842,32.45091045626634
0.031,9.659748223389125,-1.038306183655556,-7.487106877327777,-12.454930554295276,-21.055668169673293,-9.485546332352268,16.205908634813486,32.39787115324223
0.032,9.683669972946532,-0.953562941265178,-7.421529820030443,-12.433820905193736,-21.086313218972883,-9.657878988153715,16.05114744932613,32.34483185021811
0.033,9.707591722503942,-0.8688196988748,-7.355952762733109,-12.412711256092196,-21.11695826827247,-9.830211643955163,15.896386263838771,32.29179254719399
0.034,9.73151347206135,-0.784076456484422,-7.2903757054357765,-12.391601606990658,-21.14760331757206,-10.002544299756611,15.741625078351415,32.23875324416988
0.035,9.75543522161876,-0.699333214094044,-7.224798648138442,-12.370491957889119,-21.178248366871646,-10.174876955558059,15.586863892864056,32.18571394114576
0.036000000000000004,9.779356971176167,-0.6145899717036656,-7.159221590841109,-12.34938230878758,-21.208893416171236,-10.347209611359506,15.4321027073767,32.13267463812164
0.037,9.803278720733577,-0.529846729313288,-7.093644533543776,-12.328272659686041,-21.239538465470822,-10.519542267160952,15.277341521889344,32.07963533509753
0.038,9.827200470290984,-0.44510348692291,-7.0280674762464415,-12.307163010584503,-21.27018351477041,-10.6918749229624,15.122580336401986,32.02659603207341
0.039,9.851122219848394,-0.360360244532532,-6.962490418949109,-12.286053361482963,-21.30082856407,-10.864207578763846,14.967819150914629,31.973556729049292
0.04,9.875043969405802,-0.275617002142154,-6.896913361651775,-12.264943712381424,-21.331473613369585,-11.036540234565294,14.813057965427273,31.920517426025175
0.041,9.898965718963211,-0.190873759751776,-6.831336304354441,-12.243834063279886,-21.362118662669175,-11.208872890366742,14.658296779939915,31.867478123001057
0.042,9.922887468520619,-0.10613051736139756,-6.765759247057108,-12.222724414178346,-21.39276371196876,-11.38120554616819,14.503535594452558,31.814438819976942
0.043000000000000003,9.946809218078027,-0.021387274971019554,-6.700182189759774,-12.201614765076808,-21.42340876126835,-11.553538201969637,14.348774408965202,31.761399516952824
0.044,9.970730967635436,0.063355967419358,-6.6346051324624415,-12.180505115975269,-21.454053810567938,-11.725870857771083,14.194013223477846,31.708360213928707
0.045,9.994652717192844,0.148099209809736,-6.569028075165107,-12.15939546687373,-21.484698859867528,-11.89820351357253,14.039252037990487,31.655320910904592
0.046,10.018574466750254,0.23284245220011401,-6.503451017867773,-12.138285817772191,-21.515343909167115,-12.070536169373979,13.88449085250313,31.602281607880474
0.047,10.042496216307661,0.317585694590492,-6.437873960570441,-12.117176168670653,-21.545988958466705,-12.242868825175426,13.729729667015773,31.549242304856357
0.048,10.066417965865071,0.40232893698087047,-6.3722969032731065,-12.096066519569113,-21.57663400776629,-12.415201480976874,13.574968481528416,31.49620300183224
0.049,10.090339715422479,0.487072179371248,-6.306719845975772,-12.074956870467574,-21.60727905706588,-12.58753413677832,13.42020729604106,31.443163698808124
0.05,10.114261464979888,0.5718154217616265,-6.24114278867844,-12.053847221366036,-21.637924106365467,-12.759866792579768,13.265446110553702,31.390124395784007
0.051000000000000004,10.138183214537296,0.656558664152004,-6.175565731381106,-12.032737572264496,-21.668569155665054,-12.932199448381215,13.110684925066344,31.33708509275989
0.052000000000000005,10.162104964094706,0.7413019065423825,-6.109988674083772,-12.011627923162958,-21.699214204964644,-13.104532104182663,12.955923739578987,31.28404578973577
0.053,10.180180463318433,0.8201607620833208,-6.040327826901383,-11.983581806357291,-21.717726377493868,-13.281521110331092,12.78887949311037,31.206049683482718
0.054,10.18823381911299,0.8889320973109363,-5.963666197058897,-11.943644602058832,-21.71543933270247,-13.466492431360066,12.600778570673876,31.085270485980057
0.055,10.196287174907546,0.9577034325385518,-5.887004567216412,-11.903707397760373,-21.713152287911072,-13.65146375238904,12.41267764823738,30.964491288477397
0.056,10.204340530702103,1.0264747677661674,-5.8103429373739255,-11.863770193461914,-21.710865243119674,-13.836435073418013,12.224576725800885,30.843712090974737
0.057,10.212393886496661,1.095246102993783,-5.73368130753144,-11.823832989163455,-21.708578198328276,-14.021406394446986,12.03647580336439,30.722932893472077
0.058,10.220447242291218,1.1640174382213986,-5.657019677688954,-11.783895784864997,-21.706291153536878,-14.20637771547596,11.848374880927896,30.602153695969417
0.059000000000000004,10.228500598085775,1.2327887734490142,-5.5803580478464685,-11.743958580566538,-21.70400410874548,-14.391349036504934,11.6602739584914,30.481374498466757
0.06,10.236553953880334,1.3015601086766293,-5.503696418003983,-11.704021376268079,-21.701717063954078,-14.576320357533906,11.472173036054906,30.3605953009641
0.061,10.24460730967489,1.3703314439042449,-5.427034788161497,-11.66408417196962,-21.69943001916268,-14.761291678562879,11.28407211361841,30.23981610346144
0.062,10.252660665469447,1.4391027791318605,-5.350373158319011,-11.62414696767116,-21.697142974371282,-14.946262999591852,11.095971191181917,30.11903690595878
0.063,10.260714021264006,1.507874114359476,-5.273711528476525,-11.584209763372703,-21.694855929579884,-15.131234320620827,10.907870268745421,29.99825770845612
0.064,10.268767377058563,1.5766454495870916,-5.197049898634039,-11.544272559074244,-21.692568884788486,-15.3162056416498,10.719769346308926,29.87747851095346
0.065,10.27682073285312,1.6454167848147072,-5.120388268791554,-11.504335354775785,-21.690281839997088,-15.501176962678773,10.531668423872432,29.7566993134508
0.066,10.284874088647676,1.7141881200423228,-5.043726638949067,-11.464398150477326,-21.68799479520569,-15.686148283707746,10.343567501435937,29.63592011594814
0.067,10.292927444442235,1.7829594552699386,-4.967065009106582,-11.424460946178867,-21.68570775041429,-15.87111960473672,10.155466578999441,29.51514091844548
0.068,10.300980800236792,1.851730790497554,-4.890403379264096,-11.384523741880407,-21.683420705622893,-16.056090925765695,9.967365656562947,29.39436172094282
0.069,10.309034156031348,1.9205021257251698,-4.8137417494216095,-11.34458653758195,-21.681133660831495,-16.241062246794666,9.779264734126452,29.273582523440158
0.07,10.317087511825907,1.9892734609527851,-4.737080119579124,-11.304649333283491,-21.678846616040097,-16.42603356782364,9.591163811689956,29.152803325937498
0.07100000000000001,10.325140867620464,2.058044796180401,-4.660418489736639,-11.264712128985032,-21.6765595712487,-16.611004888852616,9.40306288925346,29.032024128434838
0.07200000000000001,10.33319422341502,2.1268161314080163,-4.5837568598941525,-11.224774924686573,-21.6742725264573,-16.795976209881587,9.214961966816967,28.911244930932178
0.073,10.341247579209577,2.195587466635631,-4.507095230051668,-11.184837720388114,-21.671985481665903,-16.98094753091056,9.026861044380475,28.790465733429517
0.074,10.349300935004136,2.2643588018632466,-4.430433600209182,-11.144900516089656,-21.6696984368745,-17.165918851939534,8.838760121943977,28.669686535926857
0.075,10.357354290798693,2.3331301370908624,-4.3537719703666955,-11.104963311791197,-21.667411392083103,-17.350890172968505,8.650659199507484,28.548907338424197
0.076,10.36540764659325,2.4019014723184777,-4.27711034052421,-11.065026107492738,-21.665124347291705,-17.53586149399748,8.46255827707099,28.428128140921537
0.077,10.373461002387808,2.4706728075460935,-4.200448710681724,-11.025088903194279,-21.662837302500307,-17.720832815026455,8.274457354634492,28.307348943418877
0.078,10.381514358182365,2.539444142773709,-4.1237870808392385,-10.98515169889582,-21.66055025770891,-17.905804136055426,8.086356432197999,28.186569745916216
0.079,10.389567713976922,2.6082154780013247,-4.047125450996752,-10.945214494597362,-21.65826321291751,-18.0907754570844,7.898255509761503,28.065790548413556
0.08,10.39762106977148,2.67698681322894,-3.9704638211542664,-10.905277290298903,-21.655976168126113,-18.275746778113373,7.710154587325008,27.945011350910896
0.081,10.405674425566037,2.745758148456556,-3.8938021913117806,-10.865340086000444,-21.653689123334715,-18.460718099142348,7.522053664888514,27.824232153408236
0.082,10.413727781360594,2.814529483684171,-3.817140561469295,-10.825402881701985,-21.651402078543317,-18.645689420171323,7.333952742452018,27.703452955905576
0.083,10.42178113715515,2.883300818911787,-3.740478931626809,-10.785465677403526,-21.64911503375192,-18.830660741200294,7.145851820015523,27.582673758402915
0.084,10.429834492949709,2.9520721541394024,-3.663817301784323,-10.745528473105066,-21.64682798896052,-19.01563206222927,6.957750897579028,27.461894560900255
0.085,10.437887848744266,3.020843489367018,-3.5871556719418374,-10.705591268806607,-21.644540944169123,-19.20060338325824,6.769649975142533,27.341115363397595
0.08600000000000001,10.445941204538823,3.0896148245946335,-3.5104940420993516,-10.66565406450815,-21.642253899377724,-19.385574704287215,6.5815490527060385,27.220336165894935
0.08700000000000001,10.453994560333381,3.1583861598222494,-3.4338324122568653,-10.62571686020969,-21.639966854586323,-19.57054602531619,6.393448130269543,27.099556968392278
0.088,10.462047916127938,3.227157495049864,-3.357170782414381,-10.585779655911232,-21.637679809794925,-19.755517346345158,6.205347207833051,26.978777770889618
0.089,10.470101271922495,3.2959288302774796,-3.280509152571895,-10.545842451612772,-21.635392765003527,-19.940488667374133,6.017246285396555,26.857998573386958
0.09,10.478154627717052,3.364700165505095,-3.203847522729409,-10.505905247314315,-21.63310572021213,-20.125459988403108,5.829145362960061,26.737219375884298
0.091,10.48620798351161,3.433471500732711,-3.127185892886923,-10.465968043015856,-21.63081867542073,-20.31043130943208,5.641044440523566,26.616440178381637
0.092,10.494261339306167,3.502242835960326,-3.050524263044437,-10.426030838717397,-21.628531630629332,-20.495402630461054,5.4529435180870705,26.495660980878977
0.093,10.502314695100724,3.571014171187942,-2.9738626332019513,-10.386093634418938,-21.626244585837934,-20.680373951490026,5.264842595650576,26.374881783376317
0.094,10.510368050895282,3.6397855064155573,-2.8972010033594655,-10.346156430120478,-21.623957541046536,-20.865345272519,5.07674167321408,26.254102585873657
0.095,10.51842140668984,3.708556841643173,-2.8205393735169797,-10.30621922582202,-21.62167049625514,-21.050316593547976,4.8886407507775855,26.133323388370997
0.096,10.526474762484396,3.7773281768707885,-2.743877743674494,-10.266282021523562,-21.61938345146374,-21.235287914576947,4.700539828341091,26.012544190868336
0.097,10.534528118278955,3.8460995120984043,-2.667216113832008,-10.226344817225103,-21.617096406672342,-21.42025923560592,4.512438905904595,25.891764993365676
0.098,10.542581474073511,3.9148708473260196,-2.5905544839895223,-10.186407612926644,-21.614809361880944,-21.605230556634893,4.3243379834681,25.770985795863016
0.099,10.550634829868068,3.9836421825536354,-2.513892854147036,-10.146470408628185,-21.612522317089546,-21.79020187766387,4.136237061031606,25.650206598360356
0.1,10.558688185662625,4.05241351778125,-2.43723122430455,-10.106533204329725,-21.610235272298144,-21.975173198692843,3.9481361385951104,25.529427400857696
0.101,10.566741541457183,4.121184853008867,-2.3605695944620644,-10.066596000031266,-21.607948227506746,-22.160144519721815,3.760035216158615,25.408648203355035
0.10200000000000001,10.57479489725174,4.189956188236482,-2.2839079646195786,-10.026658795732807,-21.605661182715348,-22.345115840750786,3.571934293722121,25.287869005852375
0.10300000000000001,10.582848253046297,4.258727523464097,-2.2072463347770928,-9.98672159143435,-21.60337413792395,-22.53008716177976,3.3838333712856254,25.167089808349715
0.10400000000000001,10.590901608840856,4.327498858691713,-2.130584704934607,-9.94678438713589,-21.601087093132552,-22.715058482808736,3.19573244884913,25.046310610847055
0.105,10.598954964635412,4.396270193919328,-2.053923075092122,-9.906847182837431,-21.598800048341154,-22.900029803837707,3.007631526412638,24.925531413344398
0.106,10.602358057906304,4.467849520475162,-1.9746493268059482,-9.838455302687857,-21.56781312790232,-23.02677695279813,2.8247654791303454,24.77080409999905
0.107,10.604100343133029,4.5404317010767885,-1.8944426790756,-9.759901038305738,-21.526576251875117,-23.132729754591217,2.643769030117411,24.603952459567033
0.108,10.605842628359754,4.613013881678415,-1.8142360313452517,-9.681346773923622,-21.48533937584791,-23.2386825563843,2.4627725811044767,24.43710081913501
0.109,10.60758491358648,4.685596062280042,-1.7340293836149034,-9.602792509541503,-21.44410249982071,-23.34463535817739,2.2817761320915424,24.270249178702993
0.11,10.609327198813206,4.758178242881669,-1.653822735884555,-9.524238245159387,-21.402865623793502,-23.450588159970472,2.100779683078608,24.103397538270976
0.111,10.61106948403993,4.830760423483295,-1.5736160881542067,-9.44568398077727,-21.361628747766296,-23.55654096176356,1.9197832340656735,23.936545897838954
0.112,10.612811769266656,4.903342604084922,-1.4934094404238585,-9.367129716395151,-21.320391871739094,-23.662493763556643,1.7387867850527392,23.769694257406936
0.113,10.614554054493382,4.975924784686548,-1.41320279269351,-9.288575452013035,-21.279154995711888,-23.76844656534973,1.5577903360398049,23.602842616974915
0.114,10.616296339720106,5.048506965288174,-1.3329961449631618,-9.210021187630916,-21.237918119684686,-23.874399367142814,1.3767938870268706,23.435990976542897
0.115,10.618038624946832,5.121089145889801,-1.2527894972328135,-9.1314669232488,-21.19668124365748,-23.9803521689359,1.1957974380139362,23.26913933611088
0.116,10.619780910173558,5.193671326491428,-1.172582849502465,-9.052912658866681,-21.155444367630277,-24.086304970728985,1.014800989001002,23.102287695678857
0.117,10.621523195400282,5.2662535070930545,-1.092376201772117,-8.974358394484565,-21.11420749160307,-24.192257772522073,0.8338045399880674,22.93543605524684
0.11800000000000001,10.623265480627008,5.338835687694681,-1.0121695540417686,-8.895804130102448,-21.072970615575866,-24.298210574315156,0.652808090975133,22.76858441481482
