1.7161,0.97431,1.0526,1.2937,1.544,1.569,1.2861,1.2467,1.6485,2.0309,2.1368,2.0735,1.9799,1.9749,2.1194,2.1638,2.0211,2.1549,2.3751,2.4457,2.4257,2.4431,2.6965,3.0514,3.3527,3.5392,3.6274,4.1104,4.7272,4.9681,5.0501,4.8942,4.5976,4.139,3.8351
1.7033,0.9275,0.92927,1.1104,1.1797,1.1132,1.0285,1.0905,1.4385,1.7718,1.8917,1.8331,1.744,1.7395,1.815,1.8475,1.8174,1.9614,2.0982,2.0021,2.0551,2.1936,2.2863,2.4171,2.8079,3.123,3.2642,3.5993,4.0896,4.3743,4.4793,4.4628,4.39,4.1413,3.5651
1.7386,1.0007,1.0541,1.09,0.95037,1.0909,1.0503,1.1392,1.4513,1.7501,1.87,1.8218,1.6371,1.7984,2.5359,2.6062,1.7289,1.9876,2.2027,2.273,2.269,2.2754,2.4891,2.6063,2.7057,2.9597,3.2883,3.6264,3.8994,4.2442,4.4649,4.4942,4.5351,4.4511,3.9502
1.6675,1.0835,1.2103,1.0802,0.82091,1.4166,1.2448,1.1964,1.4531,1.7669,1.9428,1.965,1.6402,2.0131,3.4842,3.604,1.6905,2.0783,2.4279,2.8257,2.7068,2.4235,2.9772,3.2668,2.7941,2.7313,3.2963,3.7429,3.8891,4.3016,4.7198,4.7149,4.7295,4.6906,4.4715
1.4939,1.0563,1.2316,0.99502,0.71537,1.6251,1.3537,1.1814,1.3622,1.6771,1.9213,2.0306,1.6364,2.0978,3.8981,4.0501,1.6085,2.0273,2.4779,3.1644,3.0212,2.552,3.3436,3.7633,2.9123,2.4969,3.1121,3.5777,3.7206,4.2072,4.826,4.7933,4.7169,4.6328,4.6877
1.3218,0.85867,1.0805,0.92588,0.66579,1.385,1.2007,1.1507,1.2925,1.4793,1.7007,1.845,1.5687,1.8677,3.2396,3.3644,1.3853,1.7028,2.1842,2.9627,2.9744,2.6893,3.3255,3.617,2.8555,2.4405,2.7793,3.1058,3.3044,3.8035,4.4585,4.482,4.3754,4.2345,4.3551
1.2768,0.62269,0.89407,0.99187,0.75649,0.8442,0.96892,1.185,1.339,1.382,1.4845,1.5414,1.5043,1.5356,1.8059,1.7986,1.1195,1.2417,1.6462,2.2924,2.591,2.7504,3.0879,3.0627,2.6878,2.588,2.6104,2.6261,2.7867,3.1869,3.7048,3.8531,3.7842,3.6479,3.6396
1.4751,0.67101,0.90637,1.1584,0.91219,0.75498,1.0168,1.2699,1.4269,1.5008,1.5518,1.485,1.5022,1.4537,1.2294,1.126,1.1033,1.0774,1.2933,1.7343,2.182,2.6047,2.9603,2.9104,2.7862,2.8674,2.8185,2.4985,2.4044,2.6361,3.0564,3.2951,3.2438,3.1235,3.0062
1.7596,0.85415,1.0205,1.2885,1.0081,0.91871,1.1232,1.3313,1.471,1.6263,1.6677,1.5834,1.5487,1.4459,1.4328,1.4414,1.2018,1.1658,1.3075,1.5453,1.8574,2.2609,2.7186,2.8958,3.0115,3.2339,3.1985,2.7002,2.345,2.336,2.6292,2.89,2.9603,2.8212,2.6002
1.8847,0.96613,1.072,1.2796,1.0007,0.98785,1.1274,1.3371,1.483,1.7493,1.7898,1.7067,1.647,1.5069,1.601,1.6332,1.2468,1.29,1.5505,1.688,1.7202,1.9282,2.4171,2.8302,3.2057,3.5957,3.5979,3.0993,2.7081,2.5422,2.6193,2.7821,3.0615,2.9053,2.5645
