time,Axis 1,Axis 2,Axis 3,Axis 4,Axis 5,Axis 6,Axis 7,Axis 8
0.0,8.918173987109457,-3.6653466977572746,-9.519995653545116,-13.10932967644298,-20.105671641386063,-4.143234002507402,21.003505384921553,34.04208954698985
0.001,8.95812066094947,-3.5620357543692465,-9.459484834400543,-13.085671063047286,-20.148760097599926,-4.270713355005479,20.880429243180206,34.031581621439855
0.002,8.997291565548181,-3.4596459535327635,-9.39878474350815,-13.062332849441303,-20.191436329900394,-4.4006572542241775,20.755837346125837,34.01925116825697
0.003,9.035695886558434,-3.358165332097985,-9.3378949676493,-13.039301901737748,-20.233696203494794,-4.53302261776845,20.62974678214368,34.00510855841276
0.004,9.073342809633063,-3.2575819269150705,-9.276815093605357,-13.016565086049326,-20.275535583590454,-4.667766363243246,20.502174639618964,33.9891641628788
0.005,9.11024152042491,-3.15788377483418,-9.215544708157692,-12.99410926848875,-20.316950335394704,-4.804845408253514,20.373138006936912,33.97142835262668
0.006,9.146401204586816,-3.0590589127054724,-9.154083398087671,-12.971921315168732,-20.35793632411487,-4.944216670404201,20.242653972482753,33.951911498627986
0.007,9.181831047771624,-2.961095377379107,-9.092430750176655,-12.949988092201982,-20.398489414958274,-5.085837067300259,20.110739624641713,33.93062397185428
0.008,9.216540235632168,-2.863981205705243,-9.030586351206011,-12.928296465701214,-20.438605473132245,-5.229663516546638,19.977412051799035,33.90757614327714
0.009000000000000001,9.250537953821295,-2.767704434534041,-8.968549787957109,-12.906833301779132,-20.478280363844114,-5.375652935748285,19.842688342339923,33.882778383868164
0.01,9.28383338799184,-2.672253100715659,-8.90632064721131,-12.885585466548452,-20.5175099523012,-5.52376224251015,19.706585584649627,33.856241064598905
0.011,9.316435723796646,-2.5776152411002573,-8.843898515749979,-12.864539826121883,-20.556290103710833,-5.673948354437182,19.56912086711336,33.82797455644094
0.012,9.348354146888555,-2.4837788925379956,-8.781282980354487,-12.843683246612136,-20.594616683280346,-5.826168189134332,19.430311278116353,33.79798923036588
0.013000000000000001,9.379597842920406,-2.390732091879033,-8.718473627806196,-12.823002594131925,-20.632485556217063,-5.980378664206549,19.29017390604384,33.76629545734528
0.014,9.410175997545034,-2.2984628759735277,-8.655470044886473,-12.802484734793955,-20.669892587728302,-6.13653669725878,19.148725839281045,33.73290360835072
0.015,9.440097796415285,-2.206959281671641,-8.592271818376682,-12.78211653471094,-20.7068336430214,-6.2945992058959765,19.005984166213192,33.697824054353774
0.016,9.469372425184002,-2.116209345823531,-8.52887853505819,-12.761884859995595,-20.74330458730368,-6.454523107723088,18.861965975225523,33.661067166326035
0.017,9.498009069504018,-2.0262011052793585,-8.465289781712366,-12.741776576760623,-20.77930128578247,-6.616265320345064,18.716688354703248,33.62264331523906
0.018000000000000002,9.52601691502818,-1.9369225968892816,-8.40150514512057,-12.721778551118739,-20.814819603665097,-6.77978276136685,18.570168393031608,33.58256287206445
0.019,9.553405147409324,-1.8483618575034604,-8.337524212064169,-12.701877649182654,-20.84985540615888,-6.945032348393399,18.422423178595828,33.540836207773765
0.02,9.58018295230029,-1.7605069239720537,-8.273346569324532,-12.682060737065079,-20.88440455847116,-7.111970999029661,18.273469799781125,33.4974736933386
0.021,9.60635951535392,-1.6733458331452218,-8.208971803683024,-12.662314680878723,-20.918462925809255,-7.280555630880584,18.123325344972745,33.452485699730516
0.022,9.631944022223056,-1.5868666218731236,-8.144399501921008,-12.642626346736296,-20.95202637338049,-7.450743161551114,17.97200690255591,33.40588259792111
0.023,9.656945658560536,-1.5010573270059182,-8.07962925081985,-12.622982600750515,-20.9850907663922,-7.622490508646206,17.81953156091584,33.35767475888194
0.024,9.6813736100192,-1.4159059853937659,-8.014660637160922,-12.603370309034085,-21.01765197005171,-7.795754589770807,17.66591640843777,33.307872553584595
0.025,9.705237062251888,-1.3314006338868254,-7.949493247725582,-12.583776337699716,-21.049705849566337,-7.970492322529867,17.511178533506932,33.25648635300065
