,alpha,beta,delta
0,4.9190967821756454e-05,3.133182663806144e-05,1.935766226719922e-06
1,0.000292082721824502,0.0001860399502066892,1.0325175399384338e-05
2,0.0006576317195144424,0.0004188737066970971,2.1981767277460685e-05
3,0.000677766280405884,0.0004316982677744484,2.24945711273506e-05
4,0.0005875024846368872,0.0003742054042273167,1.890488905369541e-05
5,0.00027158354308554007,0.00017298314846212747,8.90300264556826e-06
6,5.492030212997107e-05,3.498108415921724e-05,1.9177968392452835e-06
7,2.6510110478041854e-06,1.6885420686650864e-06,1.0380437038159316e-07
