,alpha,beta,delta
0,0.00018097222793613,0.0001152689349911656,6.625497262238256e-06
1,0.0010110445104428072,0.0006439773951865015,3.6015004152253194e-05
2,0.002481275717621312,0.0015804303933893708,8.769021823358186e-05
3,0.0021398833139441267,0.0013629830025121826,7.524037361944806e-05
4,0.002463227686810198,0.0015689348323631835,8.639735310268334e-05
5,0.0009266030738974547,0.0005901930406990158,3.240977314348473e-05
6,0.00019357648353869126,0.00012329712327305176,6.925229676535452e-06
7,1.0042732932874736e-05,6.396645180174991e-06,3.6603496713443924e-07
