,alpha,beta,delta
0,4.754854235170813e-05,3.02856957654192e-05,2.431591407432087e-06
1,0.00027337233899091723,0.00017412250891141228,1.3276235486735165e-05
2,0.0006195075683282672,0.0003945908078523995,2.922089389831293e-05
3,0.0006192787053394391,0.0003944450352480504,2.926027718312938e-05
4,0.0005502402660613096,0.0003504715070454202,2.591765796416036e-05
5,0.00025130099312910834,0.00016006432683382697,1.182514671425821e-05
6,5.15346517381486e-05,3.2824618941495925e-05,2.472087109373953e-06
7,2.559836829714997e-06,1.630469318289807e-06,1.3065752512134255e-07
