,alpha,beta,delta
0,9.511612915066282e-05,6.058352175201454e-05,4.80747303965255e-06
1,0.0005295341663292135,0.00033728290848994495,2.6025737738097546e-05
2,0.0012406494465250408,0.0007902225774044847,6.0308783537579476e-05
3,0.0011664610935804521,0.0007429688494143007,5.6834967355887896e-05
4,0.001127745881083803,0.0007183094783973267,5.450643553969841e-05
5,0.00048378409039848716,0.0003081427327378899,2.3491298234647077e-05
6,0.0001005391515748059,6.403767616229675e-05,4.9377786688571276e-06
7,5.182342554046831e-06,3.300855129966135e-06,2.6247161934153934e-07
