,alpha,beta,delta
0,6.688119062851639e-05,4.2599484476762036e-05,2.267680663572107e-06
1,0.0003918978612502821,0.00024961647213393766,1.2188829553581207e-05
2,0.0008931725882323001,0.0005688997377275798,2.6075717036631835e-05
3,0.0009152828330190055,0.0005829826961904494,2.6486524265141293e-05
4,0.0008095439607181406,0.0005156330959988157,2.297937831736887e-05
5,0.00036580961552993007,0.00023299975511460516,1.0509570263205491e-05
6,7.344382731258485e-05,4.677950784241074e-05,2.2430720013347666e-06
7,3.5608328783092207e-06,2.2680464193052364e-06,1.2216819852868751e-07
