,alpha,beta,delta
0,6.3549127941401e-05,4.0477151555032486e-05,2.8103206252599135e-06
1,0.0003619206529054475,0.00023052270885697294,1.5236855008920695e-05
2,0.000838420465936602,0.0005340257744819121,3.4121441500404054e-05
3,0.0008233718789187263,0.0005244406872093798,3.377477578695592e-05
4,0.000751833010241162,0.0004788745288160268,3.0410219858803572e-05
5,0.00033578329661287535,0.00021387471121839195,1.3724564588341036e-05
6,6.79848948384055e-05,4.330248078879331e-05,2.849926208382315e-06
7,3.3840765233587684e-06,2.1554627537317e-06,1.5141250796372052e-07
