,alpha,beta,delta
0,0.00017763244712438236,0.00011314168606648558,5.583370443858589e-06
1,0.0009834617571500826,0.0006264087625159762,2.9743598464113162e-05
2,0.002420473094151843,0.0015417026077400276,7.122995113544045e-05
3,0.0021247823614044536,0.0013533645614041106,6.292013998015856e-05
4,0.002374669180181639,0.0015125281402430823,6.948195528153608e-05
5,0.0009192786328526037,0.0005855277916258623,2.6923473118585585e-05
6,0.00018814704293705075,0.00011983888085162469,5.690926937007399e-06
7,9.918922681691883e-06,6.317785147574448e-06,3.070638463074753e-07
