,alpha,beta,delta
0,0.00018467994887428555,0.00011763054068425832,7.765941907615232e-06
1,0.0010522575398725538,0.0006702277324029005,4.330567594270442e-05
2,0.002591628939134604,0.001650719069512487,0.00010614546018106033
3,0.002202487170964375,0.0014028580706779458,8.947778734893977e-05
4,0.002574020142988805,0.0016395032757890481,0.00010494047646942328
5,0.0009535151642652539,0.0006073344995320089,3.856912534781202e-05
6,0.00020227459591422268,0.0001288373222383584,8.341326325454392e-06
7,1.0348702439419395e-05,6.591530216190698e-06,4.303147431307424e-07
