,alpha,beta,delta
0,0.00011532974840762691,7.345843847619548e-05,6.039894914459817e-06
1,0.0006439560889537514,0.00041016311398328116,3.2878129725781284e-05
2,0.0015963661374633713,0.001016793718129536,8.094131180668001e-05
3,0.0013774140844690858,0.000877333811763749,6.94483247813192e-05
4,0.0015824955115310369,0.0010079589245420618,8.026989562825915e-05
5,0.0005977311849418945,0.0003807204999629902,3.0078321331601937e-05
6,0.00012310870422687836,7.841318740565502e-05,6.315069859179612e-06
7,6.371139570420887e-06,4.058050681796744e-06,3.3236487153082425e-07
