,alpha,beta,delta
0,4.583527965593165e-05,2.9194445640720796e-05,2.903896270380085e-06
1,0.00026076079301946104,0.00016608967708245926,1.5868496586368964e-05
2,0.0005943881649736405,0.00037859118788129966,3.5710201687786415e-05
3,0.0005846132910116177,0.00037236515351058455,3.502662556012689e-05
4,0.0005290097067777311,0.0003369488578202109,3.15263392101813e-05
5,0.00023881984691479392,0.000152114552175028,1.4313219277140567e-05
6,4.8955725461824844e-05,3.118199074001582e-05,2.9786124921900104e-06
7,2.5054591392154196e-06,1.5958338466340255e-06,1.5621850488627427e-07
