,alpha,beta,delta
0,0.00011472709301666722,7.307458153927848e-05,5.25265992240997e-06
1,0.0006383790272941025,0.00040661084541025646,2.831592710116483e-05
2,0.001584825807803033,0.0010094431896834606,6.928028309157427e-05
3,0.001385229046485019,0.0008823114945764452,6.045836274338428e-05
4,0.0015701558564377752,0.0010000992716164175,6.849122229552658e-05
5,0.0006025549900446754,0.0003837929872896022,2.6086273686905767e-05
6,0.00012188484308223156,7.763365801416024e-05,5.420255463347867e-06
7,6.318829346916532e-06,4.024732068099702e-06,2.878328830353496e-07
