,alpha,beta,delta
0,4.4622455020779906e-05,2.8421945873108226e-05,3.7931029987545452e-06
1,0.0002481731573006632,0.0001580720747137982,2.0778456428981036e-05
2,0.0005654330067252718,0.0003601484119269247,4.741446676848751e-05
3,0.0005477905714649285,0.000348911192015878,4.584098414910089e-05
4,0.0005010063068839837,0.0003191122973783336,4.1988919958493294e-05
5,0.00022232725167628062,0.00014160971444349084,1.863714252951097e-05
6,4.6730158837459964e-05,2.9764432380547753e-05,3.932955064892334e-06
7,2.405191655003946e-06,1.531969207008883e-06,2.0545673818619353e-07
