,alpha,beta,delta
0,5.962208151875397e-05,3.797584810111718e-05,3.842238961822964e-06
1,0.0003333944382329398,0.00021235314537129923,2.0932534707498187e-05
2,0.0007751855557355188,0.0004937487616149802,4.8087919649821915e-05
3,0.0007452212496178939,0.0004746632163171299,4.605260595017627e-05
4,0.0006943189876918692,0.00044224139343431167,4.2838133009853774e-05
5,0.00030570115672411943,0.00019471411256313342,1.8885466848309962e-05
6,6.31673683262069e-05,4.0233992564463e-05,3.957856613814605e-06
7,3.231733616808389e-06,2.0584290552919677e-06,2.0821291938755499e-07
