,alpha,beta,delta
0,0.0001819477338592311,0.00011589027634345931,3.7007144782533e-06
1,0.0009996476643270994,0.0006367182575331843,1.8992592384990017e-05
2,0.002350573042114863,0.0014971802816018238,4.156749927035533e-05
3,0.0022766495899901734,0.0014500952802485184,4.059795938176263e-05
4,0.002200695370815539,0.001401716796697796,3.702823551178452e-05
5,0.0009474634401013735,0.0006034798981537411,1.6371771291223353e-05
6,0.00019000982781504954,0.00012102536803506342,3.5364107487356208e-06
7,9.872028183853363e-06,6.287916040670932e-06,2.0160391514262404e-07
