,alpha,beta,delta
0,0.00011892459473949074,7.574814951559921e-05,3.787591016040193e-06
1,0.0006630459604329183,0.00042232226779166773,2.0147555010121942e-05
2,0.0016181947362238084,0.0010306972842189864,4.7269730906469555e-05
3,0.0014979717332561145,0.0009541221230930667,4.403225971574272e-05
4,0.001576309198002149,0.0010040185974535983,4.507676753082519e-05
5,0.0006395292654493545,0.0004073434811779328,1.84514897870248e-05
6,0.0001262783313919905,8.043205821145892e-05,3.798648216610548e-06
7,6.43887805674976e-06,4.101196214490293e-06,2.0573995406957532e-07
