,alpha,beta,delta
0,4.514611485833404e-05,2.8755487170913404e-05,3.35273717862064e-06
1,0.00025496904365018364,0.0001624006647453399,1.8341387977737847e-05
2,0.000582197060251222,0.00037082615302625604,4.166196161076137e-05
3,0.0005675727412076219,0.00036151130013224324,4.054862310236071e-05
4,0.0005150296227950684,0.00032804434572934293,3.682486475025865e-05
5,0.00022979201752944484,0.0001463643423754426,1.65068401362283e-05
6,4.7884843237004796e-05,3.0499900150958472e-05,3.4594782273298655e-06
7,2.4174374010278995e-06,1.5397690452407006e-06,1.8119325461535453e-07
