,alpha,beta,delta
0,0.00010457816145314637,6.661029391920152e-05,2.8370275441475032e-06
1,0.0005972966718989415,0.0003804437400630201,1.5003899116700247e-05
2,0.001389281014384273,0.0008848923658498555,3.275513369465895e-05
3,0.0013901558531071317,0.000885449587966326,3.271123419641391e-05
4,0.0012592966786088885,0.0008020997952922857,2.8805325172391563e-05
5,0.000561106560942993,0.0003573927139764287,1.3058965603844415e-05
6,0.00011248138106635283,7.164419176200818e-05,2.778066014565809e-06
7,5.606457726470845e-06,3.570992182465507e-06,1.5322594258515773e-07
