,alpha,beta,delta
0,0.00012464932944053478,7.93944773506591e-05,3.0787124882007873e-06
1,0.0007060240461532888,0.0004496968446836235,1.614487559374888e-05
2,0.0016686269169172436,0.001062819692303977,3.551938786334357e-05
3,0.0016423923485526875,0.0010461097761482088,3.516565434133269e-05
4,0.0015550779291408497,0.0009904954962680571,3.161437222923311e-05
5,0.0006754488961813126,0.00043022222686707814,1.4108883204852148e-05
6,0.00013365521969638272,8.513071318240938e-05,2.997706741382046e-06
7,6.696435734080524e-06,4.26524569049715e-06,1.665421576419109e-07
