,alpha,beta,delta
0,8.107309964091993e-05,5.163891696873882e-05,3.1569727222717984e-06
1,0.0004576038003613517,0.0002914673887651922,1.7030440737413706e-05
2,0.0010684257757587548,0.0006805259718208629,3.8592560326327254e-05
3,0.00104125445040318,0.0006632193951612611,3.767754439855146e-05
4,0.0009671490683143105,0.0006160185148498794,3.458099520827042e-05
5,0.0004278477069054792,0.00027251446299712053,1.5337894422485314e-05
6,8.630844250234357e-05,5.497353025626979e-05,3.190633239604003e-06
7,4.35968463964239e-06,2.7768691972244523e-06,1.7057012682331034e-07
