,alpha,beta,delta
0,7.527080331874983e-05,4.7943186827229195e-05,4.9148580905902875e-06
1,0.00041863988491987317,0.0002666496082292186,2.6779464918100595e-05
2,0.0009794987923776035,0.0006238845811322315,6.190856391311823e-05
3,0.0009226062408118119,0.0005876472871412815,5.850078524803085e-05
4,0.0008843748939296771,0.0005632961107832338,5.550078251569861e-05
5,0.00038121579119013713,0.00024281260585359054,2.4030531701658625e-05
6,8.008773333836233e-05,5.1011295119976014e-05,5.087747364948268e-06
7,4.101003348627885e-06,2.612104043712029e-06,2.6830491944075067e-07
