,alpha,beta,delta
0,7.686148606592631e-05,4.8956360551545424e-05,4.320578774213766e-06
1,0.00042642119387571877,0.0002716058559717954,2.3458469688127233e-05
2,0.0009964280906381482,0.0006346675736548715,5.4187095371866676e-05
3,0.0009445829262779396,0.00060164517597321,5.152964466034326e-05
4,0.0008973987294086664,0.0005715915473940551,4.862264916127496e-05
5,0.0003893791908767833,0.00024801222348839704,2.119153623467987e-05
6,8.074769713985461e-05,5.143165422920676e-05,4.4487839346854166e-06
7,4.176962910993312e-06,2.6604859305689886e-06,2.3498328727427881e-07
