,alpha,beta,delta
0,8.540700589688052e-05,5.4399366813299704e-05,2.5651353161957027e-06
1,0.0004947229353660707,0.00031511014991469476,1.3643180114038233e-05
2,0.0011407239978779892,0.0007265757948267447,2.9918722988633558e-05
3,0.0011480346602054368,0.0007312322676467751,2.9686057634789983e-05
4,0.0010348912732516574,0.0006591664160838583,2.6205399710041796e-05
5,0.0004632058466439144,0.0002950355711107735,1.1868195716023278e-05
6,9.245600535614127e-05,5.888917538607724e-05,2.527291450203489e-06
7,4.564640061635571e-06,2.9074140519971794e-06,1.382530141824396e-07
