,alpha,beta,delta
0,0.0002542738215943385,0.00016195784814926022,5.553877170966502e-06
1,0.0013950678246269312,0.0008885782322464531,2.9222794299291636e-05
2,0.0033407113578823133,0.0021278416292244036,6.691560922616236e-05
3,0.003048536578852818,0.0019417430438552982,6.155482271319732e-05
4,0.003314769914970621,0.0021113184171787395,6.444914772315346e-05
5,0.0013096732646493412,0.0008341867927702812,2.5904390339293546e-05
6,0.0002694386307269664,0.00017161696224647546,5.559918449161152e-06
7,1.4198774503188448e-05,9.043805416043598e-06,3.062220766312487e-07
