,alpha,beta,delta
0,7.788194729820739e-05,4.960633585873083e-05,3.7407999283979018e-06
1,0.000437107292278981,0.0002784122880757841,2.025205039508776e-05
2,0.0010225585844094369,0.0006513112002607878,4.6477228959483353e-05
3,0.0009793796059894158,0.0006238086662352968,4.467964513114254e-05
4,0.0009225278471664023,0.0005875973548830588,4.1794875396405355e-05
5,0.00040379578369541345,0.0002571947666849767,1.8308136927687753e-05
6,8.29752682271641e-05,5.285048931666503e-05,3.819958209245839e-06
7,4.249081632528004e-06,2.7064214219923594e-06,2.0268436416113189e-07
