,alpha,beta,delta
0,9.527461823968027e-05,6.068447021635687e-05,5.493271056652796e-06
1,0.0005292682083136879,0.00033711350848005596,2.9949595382474642e-05
2,0.0012354354421080017,0.0007869015554828036,6.951309850318016e-05
3,0.0011508573341440773,0.000733030149136355,6.494723418872887e-05
4,0.0011157589537039978,0.0007106744928050943,6.270308744597765e-05
5,0.0004750441708199984,0.0003025759049808907,2.6822318875960764e-05
6,0.00010075801232289032,6.4177077912669e-05,5.699348834839343e-06
7,5.2098811994206585e-06,3.318395668420802e-06,3.010108977262055e-07
