,alpha,beta,delta
0,5.910597289481683e-05,3.7647116493513905e-05,4.351928275044976e-06
1,0.00032829220071243267,0.0002091033125556896,2.3760011142279905e-05
2,0.0007591858482932218,0.0004835578651549184,5.464366470839274e-05
3,0.0007256770930894214,0.0004622147089741538,5.216418354525129e-05
4,0.0006796380427751327,0.0004328904731051801,4.870724924379748e-05
5,0.00029735697438722903,0.000189399346743458,2.134882586887712e-05
6,6.223648189207491e-05,3.9641071268837534e-05,4.507869584692444e-06
7,3.2196733709739532e-06,2.050747370047104e-06,2.365361607193862e-07
