,alpha,beta,delta
0,0.00017856793859353647,0.00011373754050543725,4.614801214669826e-06
1,0.000976621025227794,0.0006220516084253465,2.4184488112902705e-05
2,0.0023734221267712042,0.0015117338387077735,5.622660569714141e-05
3,0.0021631581378222446,0.0013778077310969711,5.1776198452897474e-05
4,0.0023047884398788,0.0014680181145724843,5.336779963505474e-05
5,0.00092521955426885,0.000589311818005637,2.1767069138428093e-05
6,0.00018651049961726694,0.00011879649657150762,4.5807686511752275e-06
7,9.82256540319445e-06,6.25641108483723e-06,2.526275174230136e-07
