,alpha,beta,delta
0,6.143191967895451e-05,3.912861126048058e-05,3.32833447265015e-06
1,0.0003440560548808332,0.0002191439840005307,1.8142259452009858e-05
2,0.0007969704229999479,0.0005076244732483745,4.130361275033778e-05
3,0.0007752513147993258,0.0004937906463689974,4.005598207032675e-05
4,0.000714274890000031,0.0004549521592356886,3.6828238460244146e-05
5,0.00031728195846630566,0.00020209041940529027,1.638069211168355e-05
6,6.513144821157145e-05,4.1484998860873535e-05,3.408371203224738e-06
7,3.2999034272982155e-06,2.101849316750456e-06,1.799967278563446e-07
