,alpha,beta,delta
0,9.969557872322585e-05,6.350036861351966e-05,3.4906980200442337e-06
1,0.0005583044550938513,0.00035560793318079704,1.87006096328362e-05
2,0.0013095092832285274,0.0008340823460054315,4.259236662281172e-05
3,0.0012654458183711608,0.0008060164448223955,4.117701616126044e-05
4,0.0012025041400251322,0.0007659262038376639,3.845485858336478e-05
5,0.0005225333375462709,0.0003328237818766057,1.682564111728182e-05
6,0.0001056741805410677,6.73083952490877e-05,3.509083263597842e-06
7,5.393449862306875e-06,3.4353183836349522e-06,1.8904442349215236e-07
