,alpha,beta,delta
0,9.746260002694341e-05,6.207808918913593e-05,4.139620002829584e-06
1,0.0005385368732937805,0.00034301711674763097,2.232506591592212e-05
2,0.0012657114270155673,0.0008061856223029091,5.1520947791719424e-05
3,0.0012030385918515279,0.0007662666190137121,4.901923486535005e-05
4,0.0011547518337587507,0.0007355107221393317,4.653275435618074e-05
5,0.0004980987705955878,0.00031726036343668015,2.0249315602003995e-05
6,0.00010193938300012656,6.492954331218253e-05,4.21708659750983e-06
7,5.285071603962222e-06,3.3662876458358104e-06,2.2516755876155563e-07
