,alpha,beta,delta
0,0.00025312665142290195,0.00016122716651140252,4.383951481747113e-06
1,0.0013793370772450775,0.0008785586479268011,2.2288950403458794e-05
2,0.0032462321957296416,0.0020676638189360778,4.879925517171294e-05
3,0.0030819602568889284,0.001963032010757279,4.684554548907073e-05
4,0.0030735129746295065,0.001957651576197138,4.3851108304878125e-05
5,0.001299036078230107,0.0008274115147962465,1.9101185684580056e-05
6,0.0002641506120262161,0.00016824879746892745,4.179221074062229e-06
7,1.4022566123333476e-05,8.931570779193298e-06,2.4036784094183957e-07
