,alpha,beta,delta
0,0.00011572833851655501,7.371231752646816e-05,4.507746190261293e-06
1,0.0006451095206483099,0.0004108977838524267,2.4119980130332507e-05
2,0.0015947596443816304,0.001015770474128427,5.8207883487846094e-05
3,0.0014220247334616539,0.0009057482378736649,5.222176074539592e-05
4,0.0015692688872449797,0.0009995343230859745,5.6645630981878594e-05
5,0.0006179094606886063,0.0003935729048972015,2.2393928975922484e-05
6,0.0001230189075886876,7.835599209470548e-05,4.587760739501511e-06
7,6.358115844000914e-06,4.049755314650265e-06,2.4579415299712804e-07
