3.4706,0.43301,0.68174,0.70873,0.56434,0.54059,0.90361,1.0514,1.4293,1.4402,1.4283,1.2766,1.1216,1.04,0.7907,0.86256,0.94575,0.98171,0.89291,0.83494,1.3614,2.1285,1.9202,1.6572,1.1677,0.86102,0.69453,0.65405,0.79924,0.82582,0.96298,1.1195,1.2264,1.1661,1.1675
3.0809,0.38837,0.64688,0.67383,0.53059,0.50368,0.84517,1.0311,1.3483,1.4575,1.4525,1.2022,0.97054,0.908,0.73018,0.82258,0.90666,0.96139,0.89828,0.79862,1.1984,1.9256,1.8225,1.5806,1.117,0.81762,0.64241,0.62586,0.77506,0.83457,0.96881,1.0918,1.1778,1.1028,1.1149
2.7348,0.35147,0.62063,0.64395,0.50243,0.47522,0.79335,1.0186,1.3006,1.4861,1.4842,1.1589,0.84622,0.7902,0.67257,0.78573,0.86908,0.93978,0.90673,0.79575,1.0822,1.7617,1.7578,1.5242,1.0805,0.78217,0.6068,0.61612,0.7594,0.84645,0.98216,1.0743,1.1408,1.0487,1.0734
2.4454,0.32526,0.60447,0.61893,0.47907,0.45531,0.75003,1.0097,1.2795,1.5165,1.5158,1.1439,0.75967,0.69342,0.61686,0.75107,0.83051,0.91082,0.90795,0.81307,1.0173,1.6398,1.9586,1.4834,1.0569,0.75297,0.58672,0.62227,0.72894,0.88528,1.0457,1.0612,1.1129,1.0054,1.0459
2.2295,0.30937,0.59792,0.60052,0.46208,0.44352,0.71418,0.99805,1.2707,1.5387,1.5407,1.1516,0.71799,0.62296,0.56391,0.71712,0.78922,0.87272,0.89817,0.83757,0.995,1.5525,1.8868,1.4533,1.024,0.71439,0.57791,0.63828,0.82092,0.97373,1.062,1.0493,1.092,0.97427,1.0347
2.1042,0.30083,0.59773,0.59173,0.45576,0.43999,0.68224,0.97859,1.2609,1.5456,1.5554,1.1757,0.72064,0.58065,0.51619,0.6821,0.74472,0.82883,0.88197,0.86387,0.99854,1.4848,1.8179,1.4311,1.0178,0.695,0.57661,0.65701,0.81723,0.98235,1.0756,1.0397,1.0783,0.95598,0.99496
2.0734,0.29635,0.59985,0.59462,0.46351,0.44452,0.65222,0.94893,1.2424,1.5326,1.5589,1.2098,0.75853,0.56444,0.47879,0.64541,0.68354,0.765,0.88515,0.89027,1.0147,1.4257,1.7458,1.415,1.0203,0.68859,0.58422,0.67518,0.81502,0.98594,1.086,1.0332,1.0711,0.94991,1.018
2.1242,0.29333,0.60271,0.60904,0.48425,0.4549,0.62634,0.91343,1.215,1.5004,1.5514,1.2484,0.81626,0.56674,0.45653,0.60745,0.63443,0.74521,0.86309,0.91398,1.0373,1.3773,1.6744,1.4051,1.0317,0.69914,0.60358,0.69255,0.83879,0.9851,1.0684,1.0275,1.0672,0.95249,1.0544
2.2369,0.28992,0.60427,0.63072,0.51226,0.46819,0.60718,0.87952,1.183,1.4537,1.5329,1.2874,0.87951,0.57711,0.44929,0.56934,0.58335,0.69877,0.83862,0.93149,1.0616,1.3421,1.6079,1.4943,1.0456,0.72515,0.63304,0.70848,0.83089,0.98035,1.0654,1.0193,1.0623,0.95838,1.1002
2.3824,0.28527,0.60155,0.6527,0.54004,0.48171,0.59401,0.85232,1.1514,1.4001,1.5052,1.3238,0.93871,0.59277,0.45284,0.53234,0.53277,0.65315,0.81181,0.94228,1.0844,1.3174,1.5443,1.4512,1.0612,0.76166,0.66855,0.72296,0.82464,0.94418,1.0575,1.0081,1.0533,0.96291,1.15
2.5334,0.27841,0.5925,0.67011,0.56277,0.49309,0.58427,0.83335,1.1227,1.346,1.4717,1.3555,0.99059,0.61959,0.46345,0.4963,0.48433,0.60898,0.78337,0.94867,1.1072,1.3009,1.4812,1.4009,1.0725,0.80202,0.7068,0.73747,0.82162,0.93347,1.0455,1.079,1.1161,0.96312,1.1979
