time,Axis 1,Axis 2,Axis 3,Axis 4,Axis 5,Axis 6,Axis 7,Axis 8,Left Shoulder-yaw,Left Shoulder-pitch,Left Shoulder-roll,Left Elbow,Right Shoulder-yaw,Right Shoulder-pitch,Right Shoulder-roll,Right Elbow,Left Hip-yaw,Left Hip-pitch,Left Hip-roll,Left Knee,Right Hip-yaw,Right Hip-pitch,Right Hip-roll,Right Knee
0.0,4.933030977646752,24.568185191000488,15.783318346298376,-0.009830242117760608,-18.40539749686569,-15.466348401665662,-0.4963496822701408,1.087515944009943,-28.644,3.4294,62.702,84.055,-38.404,-12.467,26.947,67.67,-27.834000000000003,-7.2009,55.92,47.830000000000005,20.959999999999997,0.35664,20.768,46.41
0.001,4.901454891348712,24.525383001700742,15.770098229730472,-0.008535736046619852,-18.403648876306004,-15.411806258613476,-0.5018509490799176,1.1048039711931459,-28.736862,3.5283505,62.699129,84.13400200000001,-38.531017000000006,-12.457595,26.94403,67.48883000000001,-27.991806000000004,-7.222382999999998,56.067708,47.585470000000015,20.853079999999995,0.35322351,20.715926,46.62483
0.002,4.869878805050674,24.482580812401,15.756878113162568,-0.007241229975479094,-18.40190025574632,-15.357264115561287,-0.5073522158896944,1.122091998376349,-28.829724,3.627301,62.696258,84.21300399999998,-38.658034,-12.44819,26.94106,67.30766,-28.149612,-7.243865999999999,56.215416,47.34094000000001,20.746159999999993,0.34980702,20.663852,46.83966
0.003,4.838302718752637,24.439778623101247,15.743657996594663,-0.005946723904338339,-18.40015163518663,-15.3027219725091,-0.5128534826994712,1.139380025559552,-28.922586,3.7262515,62.693387,84.292006,-38.785051,-12.438785,26.93809,67.12649,-28.307418,-7.265348999999999,56.363124,47.096410000000006,20.639239999999997,0.34639053,20.611778,47.05449
0.004,4.806726632454599,24.396976433801505,15.73043788002676,-0.0046522178331975805,-18.398403014626943,-15.248179829456912,-0.518354749509248,1.1566680527427553,-29.015448,3.825202,62.690516,84.371008,-38.912068,-12.42938,26.93512,66.94532000000001,-28.465224,-7.286832,56.510832,46.851880000000016,20.532319999999995,0.34297404000000004,20.559704,47.26932
0.005,4.775150546156561,24.35417424450176,15.717217763458857,-0.003357711762056825,-18.39665439406725,-15.193637686404724,-0.5238560163190247,1.1739560799259583,-29.10831,3.9241525,62.687645,84.45001,-39.039085,-12.419975,26.93215,66.76415,-28.62303,-7.308315,56.65854,46.60735000000001,20.4254,0.33955755000000004,20.50763,47.48415000000001
0.006,4.7435744598585226,24.31137205520201,15.70399764689095,-0.002063205690916068,-18.394905773507567,-15.139095543352536,-0.5293572831288015,1.1912441071091613,-29.201172,4.023103,62.684774,84.52901199999998,-39.166102,-12.41057,26.92918,66.58298,-28.780836,-7.329798,56.806248,46.362820000000006,20.318479999999997,0.33614106000000005,20.455556,47.698980000000006
0.007,4.711998373560484,24.268569865902265,15.690777530323047,-0.0007686996197753102,-18.39315715294788,-15.08455340030035,-0.5348585499385783,1.2085321342923645,-29.294034,4.1220535,62.681903,84.60801399999998,-39.293119,-12.401165,26.92621,66.40181,-28.938642,-7.351281,56.953956,46.118290000000016,20.211559999999995,0.33272457,20.403482,47.913810000000005
0.008,4.680422287262446,24.22576767660252,15.67755741375514,0.0005258064513654468,-18.391408532388198,-15.030011257248162,-0.540359816748355,1.2258201614755675,-29.386896,4.221004,62.679032,84.687016,-39.420136,-12.39176,26.92324,66.22064,-29.096448,-7.372764,57.101664,45.87376000000001,20.10464,0.32930808,20.351408,48.12864000000001
0.009000000000000001,4.648846200964408,24.182965487302774,15.664337297187236,0.001820312522506204,-18.38965991182851,-14.975469114195976,-0.5458610835581318,1.2431081886587707,-29.479758,4.3199545,62.676161,84.766018,-39.547153,-12.382355,26.92027,66.03947000000001,-29.254254,-7.394247,57.249372,45.62923000000001,19.997719999999997,0.32589159,20.299334,48.34347000000001
0.01,4.617270114666368,24.140163298003028,15.651117180619332,0.00311481859364696,-18.38791129126882,-14.920926971143787,-0.5513623503679086,1.2603962158419737,-29.57262,4.418905,62.67329,84.84501999999999,-39.67417,-12.37295,26.9173,65.8583,-29.41206,-7.41573,57.39708,45.38470000000002,19.890799999999995,0.3224751,20.24726,48.55830000000001
0.011,4.584614834495072,24.096455839539583,15.637640545277568,0.003319907853951905,-18.38656242578917,-14.855096343775164,-0.5658336137607108,1.279190843786688,-29.651509,4.515790699999999,62.65431,84.91752499999998,-39.812045,-12.366838,26.937737,65.70294,-29.578143,-7.432051,57.538914,45.164200000000015,19.790109999999995,0.31793454000000004,20.216724,48.78292000000001
0.012,4.551682837946017,24.05251626077776,15.624098135891227,0.0032456594704527966,-18.385316061612095,-14.78637123324848,-0.5826048762773657,1.2983717796189695,-29.728828,4.612444399999999,62.63352,84.9893,-39.95114,-12.361096,26.960804,65.55048000000001,-29.745156,-7.447792,57.680088,44.94640000000001,19.69012,0.31326768000000005,20.188608,49.00864000000001
0.013,4.518750841396961,24.00857668201593,15.610555726504888,0.003171411086953689,-18.384069697435027,-14.717646122721796,-0.5993761387940205,1.3175527154512512,-29.806147,4.709098099999999,62.61273,85.061075,-40.090235,-12.355354,26.983871,65.39802,-29.912169,-7.463533,57.821262,44.72860000000001,19.59013,0.30860082,20.160492,49.23436000000001
0.014,4.4858188448479055,23.964637103254113,15.597013317118545,0.0030971627034545807,-18.382823333257953,-14.648921012195112,-0.6161474013106754,1.3367336512835328,-29.883466,4.8057518,62.59194,85.13284999999999,-40.22933,-12.349612,27.006938,65.24556,-30.079182,-7.479274,57.962436,44.51080000000001,19.49014,0.30393396,20.132376,49.460080000000005
